,한자,등급(대한검정회),등급(한국어문회),등급(기초교육용)
1933,夙,0.0,1.0,심화
1934,丞,0.0,1.0,심화
1935,柿,0.0,1.0,심화
1936,匙,0.0,1.0,심화
1937,熄,0.0,1.0,심화
1938,拭,0.0,1.0,심화
1939,燼,0.0,1.0,심화
1940,宸,0.0,1.0,심화
1941,呻,0.0,1.0,심화
1942,悉,0.0,1.0,심화
1943,什,0.0,1.0,심화
1944,俄,0.0,1.0,심화
1945,堊,0.0,1.0,심화
1946,愕,0.0,1.0,심화
1947,昂,0.0,1.0,심화
1948,怏,0.0,1.0,심화
1949,崖,0.0,1.0,심화
1950,曖,0.0,1.0,심화
1951,扼,0.0,1.0,심화
1952,櫻,0.0,1.0,심화
1953,揶,0.0,1.0,심화
1954,冶,0.0,1.0,심화
1955,爺,0.0,1.0,심화
1956,攘,0.0,1.0,심화
1957,恙,0.0,1.0,심화
1958,圄,0.0,1.0,심화
1959,堰,0.0,1.0,심화
1960,掩,0.0,1.0,심화
1961,奄,0.0,1.0,심화
1962,儼,0.0,1.0,심화
1963,椽,0.0,1.0,심화
1964,焰,0.0,1.0,심화
1965,嬰,0.0,1.0,심화
1966,曳,0.0,1.0,심화
1967,奧,0.0,1.0,심화
1968,懊,0.0,1.0,심화
1969,寤,0.0,1.0,심화
1970,壅,0.0,1.0,심화
1971,渦,0.0,1.0,심화
1972,婉,0.0,1.0,심화
1973,宛,0.0,1.0,심화
1974,玩,0.0,1.0,심화
1975,枉,0.0,1.0,심화
1976,巍,0.0,1.0,심화
1977,猥,0.0,1.0,심화
1978,擾,0.0,1.0,심화
1979,僥,0.0,1.0,심화
1980,凹,0.0,1.0,심화
1981,拗,0.0,1.0,심화
1982,涌,0.0,1.0,심화
1983,嵎,0.0,1.0,심화
1984,殞,0.0,1.0,심화
1985,冤,0.0,1.0,심화
1986,猿,0.0,1.0,심화
1987,揄,0.0,1.0,심화
1988,柚,0.0,1.0,심화
1989,游,0.0,1.0,심화
1990,愉,0.0,1.0,심화
1991,宥,0.0,1.0,심화
1992,戎,0.0,1.0,심화
1993,揖,0.0,1.0,심화
1994,毅,0.0,1.0,심화
1995,椅,0.0,1.0,심화
1996,擬,0.0,1.0,심화
1997,爾,0.0,1.0,심화
1998,弛,0.0,1.0,심화
1999,湮,0.0,1.0,심화
2000,溢,0.0,1.0,심화
2001,佚,0.0,1.0,심화
2002,剩,0.0,1.0,심화
2003,孕,0.0,1.0,심화
2004,仔,0.0,1.0,심화
2005,煮,0.0,1.0,심화
2006,瓷,0.0,1.0,심화
2007,炸,0.0,1.0,심화
2008,勺,0.0,1.0,심화
2009,灼,0.0,1.0,심화
2010,嚼,0.0,1.0,심화
2011,棧,0.0,1.0,심화
2012,檣,0.0,1.0,심화
2013,漿,0.0,1.0,심화
2014,仗,0.0,1.0,심화
2015,滓,0.0,1.0,심화
2016,狙,0.0,1.0,심화
2017,咀,0.0,1.0,심화
2018,嫡,0.0,1.0,심화
2019,狄,0.0,1.0,심화
2020,塡,0.0,1.0,심화
2021,栓,0.0,1.0,심화
2022,廛,0.0,1.0,심화
2023,煎,0.0,1.0,심화
2024,澱,0.0,1.0,심화
2025,剪,0.0,1.0,심화
2026,氈,0.0,1.0,심화
2027,悛,0.0,1.0,심화
2028,奠,0.0,1.0,심화
2029,截,0.0,1.0,심화
2030,挺,0.0,1.0,심화
2031,幀,0.0,1.0,심화
2032,啼,0.0,1.0,심화
2033,梯,0.0,1.0,심화
2034,凋,0.0,1.0,심화
2035,嘲,0.0,1.0,심화
2036,棗,0.0,1.0,심화
2037,槽,0.0,1.0,심화
2038,漕,0.0,1.0,심화
2039,猝,0.0,1.0,심화
2040,慫,0.0,1.0,심화
2041,挫,0.0,1.0,심화
2042,呪,0.0,1.0,심화
2043,嗾,0.0,1.0,심화
2044,樽,0.0,1.0,심화
2045,櫛,0.0,1.0,심화
2046,汁,0.0,1.0,심화
2047,咫,0.0,1.0,심화
2048,摯,0.0,1.0,심화
2049,枳,0.0,1.0,심화
2050,嗔,0.0,1.0,심화
2051,帙,0.0,1.0,심화
2052,桎,0.0,1.0,심화
2053,嫉,0.0,1.0,심화
2054,朕,0.0,1.0,심화
2055,澄,0.0,1.0,심화
2056,嗟,0.0,1.0,심화
2057,搾,0.0,1.0,심화
2058,撰,0.0,1.0,심화
2059,擦,0.0,1.0,심화
2060,塹,0.0,1.0,심화
2061,僭,0.0,1.0,심화
2062,懺,0.0,1.0,심화
2063,槍,0.0,1.0,심화
2064,娼,0.0,1.0,심화
2065,猖,0.0,1.0,심화
2066,廠,0.0,1.0,심화
2067,倡,0.0,1.0,심화
2068,愴,0.0,1.0,심화
2069,漲,0.0,1.0,심화
2070,寨,0.0,1.0,심화
2071,柵,0.0,1.0,심화
2072,凄,0.0,1.0,심화
2073,滌,0.0,1.0,심화
2074,擲,0.0,1.0,심화
2075,擅,0.0,1.0,심화
2076,喘,0.0,1.0,심화
2077,凸,0.0,1.0,심화
2078,僉,0.0,1.0,심화
2079,帖,0.0,1.0,심화
2080,牒,0.0,1.0,심화
2081,涕,0.0,1.0,심화
2082,憔,0.0,1.0,심화
2083,樵,0.0,1.0,심화
2084,梢,0.0,1.0,심화
2085,炒,0.0,1.0,심화
2086,忖,0.0,1.0,심화
2087,塚,0.0,1.0,심화
2088,撮,0.0,1.0,심화
2089,槌,0.0,1.0,심화
2090,樞,0.0,1.0,심화
2091,墜,0.0,1.0,심화
2092,椎,0.0,1.0,심화
2093,悴,0.0,1.0,심화
2094,娶,0.0,1.0,심화
2095,幟,0.0,1.0,심화
2096,嗤,0.0,1.0,심화
2097,熾,0.0,1.0,심화
2098,楕,0.0,1.0,심화
2099,宕,0.0,1.0,심화
2100,攄,0.0,1.0,심화
2101,慟,0.0,1.0,심화
2102,慝,0.0,1.0,심화
2103,爬,0.0,1.0,심화
2104,悖,0.0,1.0,심화
2105,唄,0.0,1.0,심화
2106,愎,0.0,1.0,심화
2107,斃,0.0,1.0,심화
2108,匍,0.0,1.0,심화
2109,圃,0.0,1.0,심화
2110,咆,0.0,1.0,심화
2111,曝,0.0,1.0,심화
2112,慓,0.0,1.0,심화
2113,剽,0.0,1.0,심화
2114,悍,0.0,1.0,심화
2115,檻,0.0,1.0,심화
2116,喊,0.0,1.0,심화
2117,咳,0.0,1.0,심화
2118,劾,0.0,1.0,심화
2119,嚮,0.0,1.0,심화
2120,噓,0.0,1.0,심화
2121,歇,0.0,1.0,심화
2122,哄,0.0,1.0,심화
2123,宦,0.0,1.0,심화
2124,慌,0.0,1.0,심화
2125,爻,0.0,1.0,심화
2126,哮,0.0,1.0,심화
2127,朽,0.0,1.0,심화
2128,嗅,0.0,1.0,심화
2129,吼,0.0,1.0,심화
2130,暈,0.0,1.0,심화
2131,喙,0.0,1.0,심화
2132,卉,0.0,1.0,심화
2133,恤,0.0,1.0,심화
2134,兇,0.0,1.0,심화
2135,洶,0.0,1.0,심화
2136,歆,0.0,1.0,심화
2137,崗,0.0,2.0,심화
2138,悳,0.0,2.0,심화
2139,樑,0.0,2.0,심화
2140,昞,0.0,2.0,심화
2141,暎,0.0,2.0,심화
2142,熔,0.0,2.0,심화
2143,妊,0.0,2.0,심화
2144,獐,0.0,2.0,심화
2145,沮,0.0,2.0,심화
2146,晋,0.0,2.0,심화
2147,楸,0.0,2.0,심화
2148,澔,0.0,2.0,심화
2149,峯,0.0,3.5,고등
2150,兔,0.0,3.5,심화
2151,姉,0.0,4.0,심화
2152,氷,0.0,5.0,중등
2153,強,0.0,6.0,심화
2154,戱,0.0,0.0,고등
